Bait,Prey,Abundance,Reproduce,Specificity ,MIST,Virus
NS3,Q8IZ41,0.000222818,0.74225531,1,0.829807184,DENV
NS3,O95817,9.63538E-05,0.727160831,1,0.824513999,DENV
NS3,Q8IZY2,9.10308E-05,0.675005861,1,0.806259334,DENV
NS3,P78363,6.54061E-05,0.652309221,1,0.79831346,DENV
NS3,O15027,0.00012045,0.926564314,0.799001812,0.779738179,DENV
NS3,Q9UJC3,0.000101724,0.654984561,0.920939086,0.754188013,DENV
NS3,P34932,0.005223895,0.908096716,0.759074359,0.750924147,DENV
NS3,Q9UHV9,0.001066911,0.911374016,0.757177769,0.750657587,DENV
NS3,Q99417,0.000278233,0.511694945,1,0.749115489,DENV
NS3,Q7Z6G8,2.61377E-05,0.508214242,1,0.747877076,DENV
NS3,P04049,4.73795E-05,0.507962864,1,0.747790793,DENV
NS3,P04792,0.000731507,0.724018497,0.860006094,0.743668468,DENV
NS3,O95757,0.000950763,0.884830226,0.75282963,0.73887953,DENV
NS3,Q8N163,0.000291618,0.821780651,0.79030157,0.738118452,DENV
NS3,Q9NNW5,3.79677E-05,0.463197103,1,0.732122023,DENV
NS3,Q16543,0.000197513,0.435096386,1,0.722299536,DENV
NS3,Q9BT25,4.51176E-05,0.409463194,1,0.713315727,DENV
NS3,Q99871,3.92209E-05,0.405281132,1,0.711851534,DENV
NS3,O43852,0.000119401,0.405154653,1,0.711813681,DENV
NS3,Q9Y5V3,0.000480392,0.920203727,0.681865721,0.710773197,DENV
NS3,Q8TCN5,2.57033E-05,0.401504208,1,0.710528529,DENV
NS3,Q9UJX4,2.6518E-05,0.397871431,1,0.709257122,DENV
NS3,Q86UA1,2.85629E-05,0.39711277,1,0.708991754,DENV
NS3,O60341,1.62237E-05,0.396440162,1,0.708755355,DENV
NS3,Q8IWC1,3.10056E-05,0.396287119,1,0.708702972,DENV
NS3,Q9BPZ7,2.57697E-05,0.395925512,1,0.708575991,DENV
NS3,O43896,1.13947E-05,0.381482018,1,0.703519618,DENV
NS3,Q96EB6,5.26881E-05,0.376962214,1,0.70194099,DENV
NS3,Q07864,1.50255E-05,0.366670066,1,0.698335725,DENV
NS3,Q6PGP7,1.19037E-05,0.365102259,1,0.697786743,DENV
NS3,P53597,8.96865E-05,0.514975769,0.894542296,0.690137803,DENV
NS3,Q7Z4H7,6.31184E-05,0.559550961,0.859375798,0.685692091,DENV
NS3,Q9UNE7,0.000907176,0.912212473,0.63884338,0.683487666,DENV
NS3,Q4VCS5,8.25575E-05,0.658460888,0.78366513,0.677157039,DENV
NS3,P41091,0.00020678,0.806109399,0.677197286,0.668157285,DENV
NS3,Q9ULX6,0.000488589,0.88418877,0.627427042,0.667138571,DENV
NS3,Q14940,5.96586E-05,0.414634077,0.909836367,0.663733429,DENV
NS3,O60942,1.67499E-05,0.262646413,1,0.661927585,DENV
NS3,Q9UBF2,1.19146E-05,0.262635579,1,0.661923406,DENV
NS3,Q8IZT6,2.83711E-06,0.262635579,1,0.661922679,DENV
NS3,Q8NBT2,5.50985E-05,0.262142835,1,0.6617544,DENV
NS3,Q9H6T3,1.63374E-05,0.262142835,1,0.661751299,DENV
NS3,Q96T17,1.50874E-05,0.262142835,1,0.661751199,DENV
NS3,P51530,1.02743E-05,0.262142835,1,0.661750814,DENV
NS3,Q8WXG6,6.69232E-06,0.26196115,1,0.661686938,DENV
NS3,Q13404,7.98941E-05,0.2600911,1,0.661038276,DENV
NS3,Q15526,4.0223E-05,0.259661261,1,0.660884659,DENV
NS3,Q5W0B1,0.00020882,0.797195032,0.668887139,0.660300636,DENV
NS3,P00367,2.33573E-05,0.255316337,1,0.659362587,DENV
NS3,Q92598,0.002796235,0.913410727,0.592932358,0.657888897,DENV
NS3,Q86W42,4.18274E-05,0.249142,1,0.657203046,DENV
NS3,Q9NV64,3.2112E-05,0.247680119,1,0.656690611,DENV
NS3,P19387,5.49963E-05,0.240713973,1,0.65425429,DENV
NS3,Q6P1K2,3.69669E-05,0.240713973,1,0.654252848,DENV
NS3,Q12933,1.54576E-05,0.240713973,1,0.654251127,DENV
NS3,Q86YV9,4.86494E-05,0.600040958,0.762901948,0.644872338,DENV
NS3,P41208,0.000558639,0.708809845,0.694630556,0.644067554,DENV
NS3,Q9UN37,2.94499E-05,0.188931371,1,0.636128336,DENV
NS3,Q9H269,1.52044E-05,0.188931371,1,0.636127196,DENV
NS3,Q8WWK9,4.51669E-05,0.383020536,0.869423318,0.629632092,DENV
NS3,P61981,0.000331333,0.364375146,0.874728786,0.626153215,DENV
NS3,Q96KV7,5.69037E-05,0.15000112,1,0.622504944,DENV
NS3,P62714,0.000660885,0.836622489,0.569120946,0.617269681,DENV
NS3,Q9Y4W2,3.00206E-05,0.511971504,0.763890667,0.614610108,DENV
NS3,P78318,0.000154061,0.509516806,0.755488834,0.608971842,DENV
NS3,Q9Y6D5,1.76409E-05,0.105835204,1,0.607043733,DENV
NS3,P55735,0.000427733,0.853649111,0.53975373,0.606471034,DENV
NS3,Q13015,0.000223795,0.39711277,0.798647272,0.594236318,DENV
NS3,P52907,0.000111786,0.513200303,0.699948997,0.578599977,DENV
NS3,O00743,0.000568933,0.934660078,0.426033399,0.57001558,DENV
NS3,P01769,0.000142084,3.78923E-11,1,0.570011367,DENV
NS3,Q9NPA8,8.67728E-05,3.78923E-11,1,0.570006942,DENV
NS3,P67775,8.49298E-05,3.78923E-11,1,0.570006794,DENV
NS3,Q15012,7.42746E-05,3.78923E-11,1,0.570005942,DENV
NS3,Q9UHF0,7.39702E-05,3.78923E-11,1,0.570005918,DENV
NS3,Q9UJ90,6.63744E-05,3.78923E-11,1,0.57000531,DENV
NS3,Q9UK76,6.22546E-05,3.78923E-11,1,0.57000498,DENV
NS3,Q99471,5.74801E-05,3.78923E-11,1,0.570004598,DENV
NS3,Q9UPQ4,3.86388E-05,3.78923E-11,1,0.570003091,DENV
NS3,P00374,3.39754E-05,3.78923E-11,1,0.570002718,DENV
NS3,Q8N138,3.29483E-05,3.78923E-11,1,0.570002636,DENV
NS3,Q15397,3.13699E-05,3.78923E-11,1,0.57000251,DENV
NS3,Q6NTF9,2.78937E-05,3.78923E-11,1,0.570002232,DENV
NS3,Q9Y279,2.48876E-05,3.78923E-11,1,0.570001991,DENV
NS3,Q8WUH6,2.45114E-05,3.78923E-11,1,0.570001961,DENV
NS3,Q13188,2.31336E-05,3.78923E-11,1,0.570001851,DENV
NS3,Q15369,2.2993E-05,3.78923E-11,1,0.570001839,DENV
NS3,A6NM15,2.28744E-05,3.78923E-11,1,0.57000183,DENV
NS3,A5LHX3,2.24583E-05,3.78923E-11,1,0.570001797,DENV
NS3,Q9BVG4,2.21982E-05,3.78923E-11,1,0.570001776,DENV
NS3,Q9NVX0,2.18421E-05,3.78923E-11,1,0.570001747,DENV
NS3,Q9HBH1,2.1753E-05,3.78923E-11,1,0.57000174,DENV
NS3,Q96LB3,2.11224E-05,3.78923E-11,1,0.57000169,DENV
NS3,O95229,2.08121E-05,3.78923E-11,1,0.570001665,DENV
NS3,O95704,2.07744E-05,3.78923E-11,1,0.570001662,DENV
NS3,Q8NE00,2.07066E-05,3.78923E-11,1,0.570001657,DENV
NS3,A0PJK1,2.02419E-05,3.78923E-11,1,0.570001619,DENV
NS3,O43542,1.90212E-05,3.78923E-11,1,0.570001522,DENV
NS3,Q16854,1.80027E-05,3.78923E-11,1,0.57000144,DENV
NS3,Q8NBA8,1.72897E-05,3.78923E-11,1,0.570001383,DENV
NS3,Q96F15,1.64443E-05,3.78923E-11,1,0.570001316,DENV
NS3,Q9NRN7,1.61193E-05,3.78923E-11,1,0.57000129,DENV
NS3,Q9P287,1.60207E-05,3.78923E-11,1,0.570001282,DENV
NS3,Q9UET6,1.58912E-05,3.78923E-11,1,0.570001271,DENV
NS3,Q15435,1.56781E-05,3.78923E-11,1,0.570001254,DENV
NS3,Q06609,1.55916E-05,3.78923E-11,1,0.570001247,DENV
NS3,O75351,1.53082E-05,3.78923E-11,1,0.570001225,DENV
NS3,P61163,1.52729E-05,3.78923E-11,1,0.570001222,DENV
NS3,Q96MX6,1.47631E-05,3.78923E-11,1,0.570001181,DENV
NS3,Q9NZ71,1.44589E-05,3.78923E-11,1,0.570001157,DENV
NS3,Q9UH65,1.43929E-05,3.78923E-11,1,0.570001151,DENV
NS3,P17612,1.41972E-05,3.78923E-11,1,0.570001136,DENV
NS3,Q9UGP4,1.37605E-05,3.78923E-11,1,0.570001101,DENV
NS3,P15104,1.37141E-05,3.78923E-11,1,0.570001097,DENV
NS3,Q9UHV5,1.35501E-05,3.78923E-11,1,0.570001084,DENV
NS3,O43815,1.33813E-05,3.78923E-11,1,0.570001071,DENV
