Bait,Prey,Abundance,Reproduce,Specificity ,MIST,Virus
Capsid,Q9BYN8,0.000777665,0.775949851,0.83142022,0.745554186,DENV
Capsid,Q13601,0.001637705,0.979076007,0.704314562,0.744266919,DENV
Capsid,P52298,0.000170583,0.491124249,1,0.741907134,DENV
Capsid,P09001,0.000162106,0.488973656,1,0.741153748,DENV
Capsid,Q9BVP2,0.001637409,0.969692892,0.702729228,0.740079165,DENV
Capsid,Q13405,0.000394662,0.594481105,0.931999132,0.739339465,DENV
Capsid,Q13610,0.000232743,0.731978136,0.84477173,0.737730853,DENV
Capsid,P82650,0.001235179,0.943718953,0.712521981,0.736537977,DENV
Capsid,Q8IWS0,0.000856372,0.972289154,0.692078811,0.734854636,DENV
Capsid,Q9UNQ2,0.000503581,0.836992316,0.774935703,0.734700948,DENV
Capsid,Q13895,0.00108089,0.966409207,0.695006692,0.734483508,DENV
Capsid,Q5T3I0,0.000159774,0.785336744,0.806195808,0.734412253,DENV
Capsid,O75400,0.000227531,0.917986122,0.723367781,0.73363298,DENV
Capsid,Q53F19,3.73114E-05,0.464359366,1,0.732528763,DENV
Capsid,O43143,0.00102494,0.952016561,0.697166677,0.730672797,DENV
Capsid,Q9UIG0,5.35057E-05,0.685131822,0.85910678,0.729491283,DENV
Capsid,O95793,0.000422334,0.940866434,0.700541632,0.728645769,DENV
Capsid,Q96SB4,0.000611618,0.922046955,0.711973107,0.728590035,DENV
Capsid,Q9BYD2,0.000153356,0.449591505,1,0.727369295,DENV
Capsid,Q6P161,0.000826716,0.831985969,0.762419004,0.725840059,DENV
Capsid,O00425,0.001643946,0.983968562,0.668784899,0.725727905,DENV
Capsid,P11387,0.00148453,0.985472297,0.661327311,0.721990634,DENV
Capsid,Q92552,0.000600652,0.95791376,0.676506602,0.720926631,DENV
Capsid,Q7L2E3,0.000929588,0.92884493,0.690159708,0.718561126,DENV
Capsid,Q8TDN6,0.000388845,0.841608385,0.739567107,0.716147293,DENV
Capsid,P82673,0.000828795,0.930660962,0.683036774,0.715128602,DENV
Capsid,Q15024,0.000188224,0.661085729,0.847477119,0.714457021,DENV
Capsid,P82663,0.00063445,0.683210873,0.831159059,0.712935225,DENV
Capsid,P35250,0.000227819,0.637916922,0.858268813,0.712502372,DENV
Capsid,Q96EY7,0.00055121,0.899395632,0.69748709,0.71240021,DENV
Capsid,O60264,0.000247084,0.819452908,0.744732008,0.711325529,DENV
Capsid,Q5SSJ5,0.000927783,0.970540189,0.651854966,0.71132062,DENV
Capsid,Q9BUJ2,0.000752143,0.977242583,0.647316241,0.711065332,DENV
Capsid,O76021,0.0012066,0.971627873,0.646012254,0.708393268,DENV
Capsid,Q86TB9,8.51953E-05,0.663408734,0.833918847,0.707533615,DENV
Capsid,Q9BQ39,0.00127052,0.978050002,0.640481648,0.707493682,DENV
Capsid,Q9Y6M1,0.000736015,0.982528973,0.635193245,0.706004171,DENV
Capsid,Q9BRP8,0.001908827,0.967625032,0.639043381,0.703076195,DENV
Capsid,Q15427,0.000223767,0.852336021,0.708101726,0.701953492,DENV
Capsid,Q00577,0.000745247,0.858426134,0.703343161,0.701414368,DENV
Capsid,Q12849,0.00059885,0.913656675,0.666556852,0.69976515,DENV
Capsid,Q8WXF0,0.00015022,0.445889126,0.947719283,0.696273203,DENV
Capsid,Q9BU76,0.000731248,0.966114427,0.626416407,0.695255901,DENV
Capsid,O15042,8.47432E-05,0.820849416,0.715103348,0.694912984,DENV
Capsid,Q99459,0.000688805,0.949954253,0.633766278,0.693785871,DENV
Capsid,Q8WTT2,6.0293E-05,0.450063308,0.938613515,0.692536685,DENV
Capsid,O43347,0.000159008,0.421447392,0.955996919,0.692437552,DENV
Capsid,Q9NQT5,0.000295408,0.833486209,0.702543533,0.69219362,DENV
Capsid,Q9Y399,0.00036554,0.675431671,0.796964747,0.690700234,DENV
Capsid,P82675,0.000702976,0.944700963,0.631068465,0.6904106,DENV
Capsid,O95363,9.17495E-05,0.551885908,0.868945987,0.68846662,DENV
Capsid,Q13283,0.00328464,0.968063198,0.610867887,0.687279586,DENV
Capsid,Q8N983,0.000180459,0.728467602,0.758309461,0.68721449,DENV
Capsid,Q9BWF3,0.00013089,0.592823041,0.840689969,0.686691818,DENV
Capsid,Q9BQ67,0.001345261,0.957503907,0.612592382,0.684411646,DENV
Capsid,P35249,0.000137971,0.475892757,0.906312581,0.683171674,DENV
Capsid,Q9NR30,0.004937398,0.992253066,0.585328631,0.681320885,DENV
Capsid,P79522,7.27416E-05,0.315259514,1,0.680346649,DENV
Capsid,P62140,0.00012997,0.315040923,1,0.680274721,DENV
Capsid,Q9NRL2,5.16905E-05,0.782550862,0.712866279,0.680230716,DENV
Capsid,Q9H0U6,0.000140278,0.314100647,1,0.679946449,DENV
Capsid,Q06787,7.73419E-05,0.71647754,0.752529338,0.679715049,DENV
Capsid,Q8WYQ5,2.65977E-05,0.313111421,1,0.679591125,DENV
Capsid,Q7Z7C8,5.42199E-05,0.312798208,1,0.67948371,DENV
Capsid,Q7Z2W9,0.000103594,0.311690261,1,0.679099879,DENV
Capsid,Q9Y291,0.000232414,0.311291974,1,0.678970784,DENV
Capsid,O75909,3.50037E-05,0.475729047,0.899046191,0.678964296,DENV
Capsid,Q659C4,5.14307E-05,0.311073892,1,0.678879977,DENV
Capsid,Q7Z7F7,8.69162E-05,0.307483199,1,0.677626073,DENV
Capsid,Q9NR80,3.31686E-05,0.307483199,1,0.677621773,DENV
Capsid,Q5S007,7.29838E-06,0.305597842,1,0.676959829,DENV
Capsid,P82921,0.000688073,0.91026919,0.626844918,0.675950866,DENV
Capsid,Q9H2U1,0.000597218,0.930945349,0.613418744,0.675527334,DENV
Capsid,Q9H7B2,5.5893E-05,0.298773139,1,0.67457507,DENV
Capsid,O95834,4.1335E-05,0.298648529,1,0.674530292,DENV
Capsid,Q8TAE8,4.82573E-05,0.298267333,1,0.674397427,DENV
Capsid,P37108,0.004457495,0.987991504,0.575253843,0.674048317,DENV
Capsid,Q5C9Z4,3.16957E-05,0.470008986,0.89388854,0.674022148,DENV
Capsid,Q6P158,0.000257478,0.853557046,0.657178326,0.67335721,DENV
Capsid,Q9BYC8,5.95518E-05,0.294423332,1,0.67305293,DENV
Capsid,Q9H1V8,1.56971E-05,0.294423332,1,0.673049422,DENV
Capsid,P49406,0.000115177,0.293408482,1,0.672702183,DENV
Capsid,Q14690,7.33514E-05,0.672820248,0.763732463,0.670820459,DENV
Capsid,Q96QR8,0.000320587,0.824880908,0.669606997,0.670409953,DENV
Capsid,Q9H9L3,5.8389E-05,0.284702474,1,0.669650537,DENV
Capsid,Q92665,0.000363933,0.716943181,0.728826937,0.666390582,DENV
Capsid,Q9HC36,0.000294065,0.859064682,0.640509647,0.665786663,DENV
Capsid,P82912,0.000662209,0.839516815,0.649867296,0.664308221,DENV
Capsid,Q9Y3D3,0.000987036,0.83620381,0.647741791,0.661963117,DENV
Capsid,Q9Y676,0.000964516,0.946960659,0.578803575,0.66143143,DENV
Capsid,Q86V81,0.005510347,0.984805003,0.554893758,0.661412021,DENV
Capsid,Q92522,0.005592971,0.974685939,0.560512086,0.661079406,DENV
Capsid,P16402,0.010844565,0.962615994,0.565886113,0.660338247,DENV
Capsid,Q969Q0,0.001514258,0.717417278,0.716932197,0.65986854,DENV
Capsid,P78316,8.6087E-05,0.47558013,0.8654533,0.659768313,DENV
Capsid,Q9UPR6,3.01777E-05,0.249412602,1,0.657296825,DENV
Capsid,Q13595,0.000317594,0.726560944,0.706296855,0.656910945,DENV
Capsid,Q14197,0.000349408,0.778915819,0.673504511,0.656546061,DENV
Capsid,Q9Y3D9,0.001166692,0.891622271,0.601591592,0.655068338,DENV
Capsid,P26368,0.001006887,0.913688466,0.587608609,0.654808421,DENV
Capsid,Q5JTH9,0.000271202,0.881883455,0.607079733,0.654716353,DENV
Capsid,Q9NX24,0.000923775,0.761123841,0.680584164,0.65440022,DENV
Capsid,P82664,0.000361709,0.548965592,0.810251158,0.654010054,DENV
Capsid,Q9NPE3,0.001120934,0.639753724,0.75350292,0.653500143,DENV
Capsid,Q7Z2T5,0.000320618,0.859249835,0.617176473,0.652553681,DENV
Capsid,Q99575,0.000153064,0.936246266,0.569007255,0.652032574,DENV
Capsid,Q8IY37,9.17401E-05,0.83237691,0.63041217,0.650674194,DENV
Capsid,Q9NQT4,0.000162271,0.614214963,0.761158411,0.648848513,DENV
Capsid,P78346,9.83916E-05,0.483778144,0.839320197,0.647742734,DENV
Capsid,P62277,0.007111094,0.987008506,0.528107613,0.647043204,DENV
Capsid,P98175,0.000116858,0.772280202,0.660343536,0.646703235,DENV
Capsid,Q9GZR7,0.000109034,0.616401932,0.755319583,0.646281561,DENV
Capsid,Q13151,0.005812191,0.983519625,0.528843069,0.646137393,DENV
Capsid,P51116,4.85427E-05,0.491029004,0.831449322,0.645790148,DENV
Capsid,Q08211,0.003934825,0.991858903,0.523198771,0.645688702,DENV
Capsid,Q13243,0.001148916,0.965176787,0.537224062,0.644121504,DENV
Capsid,Q9NX58,0.00071562,0.941953797,0.54293009,0.63921123,DENV
Capsid,Q9NZI8,0.002960345,0.997368301,0.501003906,0.63488796,DENV
Capsid,Q6PCB5,6.34883E-05,0.662047434,0.706553136,0.634456969,DENV
Capsid,Q9BVJ6,3.55521E-05,0.427241031,0.850062164,0.634072639,DENV
Capsid,O00541,0.000150232,0.774979199,0.632738559,0.631915717,DENV
Capsid,P62995,0.000497074,0.93502404,0.531175504,0.630068217,DENV
Capsid,Q9UMS4,0.002843343,0.959210915,0.515512629,0.629793486,DENV
Capsid,Q7Z7H8,0.000188992,0.645200631,0.708566879,0.629718461,DENV
Capsid,Q6ZN17,0.000502017,0.748473158,0.644218402,0.629210256,DENV
Capsid,Q01081,0.001542125,0.899176617,0.550722986,0.628747288,DENV
Capsid,Q14498,0.001208525,0.980923266,0.497260393,0.626858249,DENV
Capsid,P16989,0.00493075,0.976629562,0.499281413,0.626805212,DENV
Capsid,O00571,0.002643735,0.975906917,0.499817227,0.626674739,DENV
Capsid,Q16630,0.000210615,0.805652111,0.603691104,0.626099018,DENV
Capsid,Q05519,6.21519E-05,0.461357318,0.814344852,0.625656599,DENV
Capsid,P18077,0.002364394,0.966793103,0.501741009,0.624559113,DENV
Capsid,Q96GA3,0.000608112,0.93367094,0.519509061,0.622953643,DENV
