Bait,Prey,Abundance,Reproduce,Specificity ,MIST,Virus
NS2B3,Q9NYZ3,0.000107916,3.89871E-11,1,0.570008633,DENV
NS2B3,Q9NZR4,0.000107607,3.89871E-11,1,0.570008609,DENV
NS2B3,O00755,0.000106087,3.89871E-11,1,0.570008487,DENV
NS2B3,Q96H22,0.000104609,3.89871E-11,1,0.570008369,DENV
NS2B3,O00292,0.000100953,3.89871E-11,1,0.570008076,DENV
NS2B3,Q9H228,9.90888E-05,3.89871E-11,1,0.570007927,DENV
NS2B3,Q14244,9.83107E-05,3.89871E-11,1,0.570007865,DENV
NS2B3,Q8N0Z2,9.60477E-05,3.89871E-11,1,0.570007684,DENV
NS2B3,Q9H4K7,9.4122E-05,3.89871E-11,1,0.57000753,DENV
NS2B3,Q9BS34,9.27276E-05,3.89871E-11,1,0.570007418,DENV
NS2B3,Q6A1A2,9.24992E-05,3.89871E-11,1,0.5700074,DENV
NS2B3,Q9BT25,9.22719E-05,3.89871E-11,1,0.570007382,DENV
NS2B3,Q6ZMV7,9.15968E-05,3.89871E-11,1,0.570007328,DENV
NS2B3,Q6IA17,9.04932E-05,3.89871E-11,1,0.570007239,DENV
NS2B3,P01769,8.86507E-05,3.89871E-11,1,0.570007092,DENV
NS2B3,P63252,8.57413E-05,3.89871E-11,1,0.570006859,DENV
NS2B3,P11217,8.5158E-05,3.89871E-11,1,0.570006813,DENV
NS2B3,P21817,8.04012E-05,3.89871E-11,1,0.570006432,DENV
NS2B3,Q7L1S5,7.93968E-05,3.89871E-11,1,0.570006352,DENV
NS2B3,A6NHY2,7.8731E-05,3.89871E-11,1,0.570006298,DENV
NS2B3,Q01101,7.80762E-05,3.89871E-11,1,0.570006246,DENV
NS2B3,P19823,7.76725E-05,3.89871E-11,1,0.570006214,DENV
NS2B3,Q8IZN3,7.74323E-05,3.89871E-11,1,0.570006195,DENV
NS2B3,Q8TAV3,7.67989E-05,3.89871E-11,1,0.570006144,DENV
NS2B3,P49758,7.60216E-05,3.89871E-11,1,0.570006082,DENV
NS2B3,Q9H9L4,7.51093E-05,3.89871E-11,1,0.570006009,DENV
NS2B3,O75907,7.48101E-05,3.89871E-11,1,0.570005985,DENV
NS2B3,Q9BUB4,7.46614E-05,3.89871E-11,1,0.570005973,DENV
NS2B3,P31749,7.42187E-05,3.89871E-11,1,0.570005938,DENV
NS2B3,Q8IYS4,7.42187E-05,3.89871E-11,1,0.570005938,DENV
NS2B3,O00555,7.31775E-05,3.89871E-11,1,0.570005854,DENV
NS2B3,Q8IW19,7.26396E-05,3.89871E-11,1,0.570005811,DENV
NS2B3,Q96I34,7.15327E-05,3.89871E-11,1,0.570005723,DENV
NS2B3,Q8IYG6,7.0459E-05,3.89871E-11,1,0.570005637,DENV
NS2B3,Q9Y283,7.01301E-05,3.89871E-11,1,0.57000561,DENV
NS2B3,P78348,6.90343E-05,3.89871E-11,1,0.570005523,DENV
NS2B3,Q8NFM4,6.89709E-05,3.89871E-11,1,0.570005518,DENV
NS2B3,Q96JF0,6.87814E-05,3.89871E-11,1,0.570005503,DENV
NS2B3,Q7L5N7,6.86557E-05,3.89871E-11,1,0.570005492,DENV
NS2B3,Q8NEH6,6.82812E-05,3.89871E-11,1,0.570005463,DENV
NS2B3,Q86U10,6.79108E-05,3.89871E-11,1,0.570005433,DENV
NS2B3,O14531,6.68233E-05,3.89871E-11,1,0.570005346,DENV
NS2B3,Q8N0U7,6.67046E-05,3.89871E-11,1,0.570005336,DENV
NS2B3,Q8WYK0,6.67046E-05,3.89871E-11,1,0.570005336,DENV
NS2B3,P28799,6.50861E-05,3.89871E-11,1,0.570005207,DENV
NS2B3,Q96S06,6.376E-05,3.89871E-11,1,0.570005101,DENV
NS2B3,Q8IXL6,6.23832E-05,3.89871E-11,1,0.570004991,DENV
NS2B3,Q7Z5J4,6.09654E-05,3.89871E-11,1,0.570004877,DENV
NS2B3,O00327,6.00875E-05,3.89871E-11,1,0.570004807,DENV
NS2B3,O95881,5.98947E-05,3.89871E-11,1,0.570004792,DENV
