Bait,Prey,Abundance,Reproduce,Specificity ,MIST,Virus
NS5,Q9Y4Z0,8.40793E-05,0.244225702,1,0.655485722,DENV
NS5,P48730,1.30505E-05,0.243999258,1,0.655400784,DENV
NS5,Q9NQX1,3.6256E-05,0.243817619,1,0.655339067,DENV
NS5,Q13099,1.27304E-05,0.241529954,1,0.654536502,DENV
NS5,Q9Y2W2,1.78156E-05,0.239065307,1,0.653674283,DENV
NS5,Q96JM4,7.24409E-06,0.233046365,1,0.651566807,DENV
NS5,Q9H361,8.75497E-05,0.232349877,1,0.651329461,DENV
NS5,O75817,6.97231E-05,0.229976733,1,0.650497434,DENV
NS5,Q08945,0.000618443,0.898339629,0.588756942,0.650059803,DENV
NS5,Q12788,1.65709E-05,0.225842051,1,0.649046043,DENV
NS5,O43447,4.13953E-05,0.225737624,1,0.64901148,DENV
NS5,O60684,2.64322E-05,0.225737624,1,0.649010283,DENV
NS5,Q9GZT9,4.95001E-05,0.225610287,1,0.64896756,DENV
NS5,Q99466,8.55213E-06,0.221562881,1,0.647547693,DENV
NS5,B2RPK0,0.000108076,0.63408278,0.746661744,0.647534813,DENV
NS5,Q9HCS7,1.55028E-05,0.2213918,1,0.64748837,DENV
NS5,P62495,1.76209E-05,0.218057908,1,0.646321678,DENV
NS5,Q7RTV0,0.000475505,0.332422485,0.929592474,0.64625362,DENV
NS5,Q9NY93,4.06273E-05,0.217836944,1,0.64624618,DENV
NS5,P35637,0.001664827,0.911372036,0.570848245,0.644496899,DENV
NS5,Q9Y4Y9,0.000468179,0.65010432,0.73119744,0.644356507,DENV
NS5,Q86WX3,0.000137317,0.206923296,1,0.642434139,DENV
NS5,Q9Y5H8,1.91793E-05,0.2055876,1,0.641957194,DENV
NS5,Q9Y4E8,2.11488E-05,0.205387927,1,0.641887466,DENV
NS5,P35659,0.000119785,0.427746611,0.851769703,0.635229628,DENV
NS5,P52294,0.00010384,0.622465676,0.731752355,0.634970136,DENV
NS5,Q07955,0.004430762,0.980597997,0.509496799,0.633976935,DENV
NS5,P17096,0.00016558,0.174092243,1,0.630945531,DENV
NS5,P62316,0.008789274,0.846223206,0.581439901,0.628302008,DENV
NS5,Q8N3X1,1.93317E-05,0.164404095,1,0.62754298,DENV
NS5,Q9GZS3,0.001706029,0.746190163,0.639933241,0.626064987,DENV
NS5,Q9BY77,0.000144938,0.249316582,0.944504171,0.625639776,DENV
NS5,P62318,0.004476343,0.866857904,0.564097187,0.62529377,DENV
NS5,Q9UER7,4.47187E-05,0.69157726,0.671938652,0.62506065,DENV
NS5,Q7L014,2.29251E-05,0.155332905,1,0.624368351,DENV
