Bait,Prey,Abundance,Reproduce,Specificity ,MIST,Virus
NS4A,O75352,0.000158631,0.526155563,1,0.754167138,DENV
NS4A,Q9C0E8,8.84532E-05,0.526155563,1,0.754161523,DENV
NS4A,Q8NE86,0.000157921,0.679278566,0.902788432,0.752349538,DENV
NS4A,Q9GZM5,0.000189767,0.514615254,1,0.75013052,DENV
NS4A,P17568,0.000422578,0.499265868,1,0.74477686,DENV
NS4A,Q9BUM1,0.000366839,0.969802944,0.710475793,0.74443158,DENV
NS4A,P49821,0.000151678,0.497630222,1,0.744182712,DENV
NS4A,Q8TEQ8,6.1167E-05,0.485913187,1,0.740074509,DENV
NS4A,O00217,0.000300576,0.808568476,0.795552759,0.736488085,DENV
NS4A,Q8WVP7,0.000116083,0.460977909,1,0.731351555,DENV
NS4A,Q86VP6,0.000627603,0.968361747,0.681620922,0.727500745,DENV
NS4A,O43264,0.000257512,0.872890982,0.735530552,0.724784859,DENV
NS4A,Q9Y5Q8,0.000610179,0.705017507,0.836366375,0.723533776,DENV
NS4A,P56589,0.000280029,0.66956217,0.854265625,0.721300568,DENV
NS4A,P62820,0.000600599,0.757102732,0.797758255,0.71975621,DENV
NS4A,P28288,0.002290407,0.993565183,0.649357207,0.718064655,DENV
NS4A,P49755,0.001701957,0.968135363,0.664840472,0.717942602,DENV
NS4A,Q9NX63,0.004297078,0.9490832,0.67414743,0.716786921,DENV
NS4A,O95299,0.000440469,0.750050296,0.79473991,0.71555459,DENV
NS4A,Q5VYK3,0.000107952,0.800057183,0.762865361,0.714861906,DENV
NS4A,O43920,0.000898339,0.592368292,0.8787297,0.708276698,DENV
NS4A,P24539,0.000381697,0.862327043,0.706163105,0.70435797,DENV
NS4A,Q8NBU5,0.000270163,0.696512713,0.806271867,0.703376027,DENV
NS4A,O95470,0.000164782,0.531254632,0.904654735,0.701605503,DENV
NS4A,Q99653,0.000934551,0.903899276,0.664515964,0.69521361,DENV
NS4A,Q86VR2,3.39314E-05,0.356200872,1,0.69467302,DENV
NS4A,P51149,9.02038E-05,0.356023732,1,0.694615522,DENV
NS4A,Q9UBQ6,5.651E-05,0.356023732,1,0.694612827,DENV
NS4A,O96011,7.37136E-05,0.355850347,1,0.694553518,DENV
NS4A,Q8NEW0,5.03125E-05,0.355850347,1,0.694551646,DENV
NS4A,Q9UIA9,1.83318E-05,0.355702338,1,0.694497285,DENV
NS4A,O15439,1.51888E-05,0.355702338,1,0.694497033,DENV
NS4A,Q9BWQ6,6.30979E-05,0.354912522,1,0.69422443,DENV
NS4A,Q9UHQ9,5.51406E-05,0.354775996,1,0.69417601,DENV
NS4A,Q9NZ45,0.000157385,0.354554356,1,0.694106615,DENV
NS4A,O75947,0.000258202,0.354101257,1,0.693956096,DENV
NS4A,P56385,0.000287273,0.353840369,1,0.693867111,DENV
NS4A,Q9NX14,0.000131743,0.353840369,1,0.693854668,DENV
NS4A,P33527,1.32672E-05,0.353840369,1,0.69384519,DENV
NS4A,Q9HC21,5.51152E-05,0.353003257,1,0.693555549,DENV
NS4A,Q8N0U8,0.000207354,0.350000923,1,0.692516911,DENV
